iteration: 300000, loss fn: 0.10623179376125336
iteration: 300001, loss fn: 0.06761421263217926
iteration: 300002, loss fn: 0.05824216827750206
iteration: 300003, loss fn: 0.07309207320213318
iteration: 300004, loss fn: 0.09187109768390656
iteration: 300005, loss fn: 0.059878211468458176
iteration: 300006, loss fn: 0.05335702747106552
iteration: 300007, loss fn: 0.0762653797864914
iteration: 300008, loss fn: 0.04142875224351883
iteration: 300009, loss fn: 0.05533929914236069
iteration: 300010, loss fn: 0.04472366347908974
iteration: 300011, loss fn: 0.06915129721164703
iteration: 300012, loss fn: 0.05610871687531471
iteration: 300013, loss fn: 0.03362684324383736
iteration: 300014, loss fn: 0.024455269798636436
iteration: 300015, loss fn: 0.049257952719926834
iteration: 300016, loss fn: 0.0652022510766983
iteration: 300017, loss fn: 0.062308359891176224
iteration: 300018, loss fn: 0.07170679420232773
iteration: 300019, loss fn: 0.05181313678622246
iteration: 300020, loss fn: 0.06056264042854309
iteration: 300021, loss fn: 0.10142028331756592
iteration: 300022, loss fn: 0.04894651845097542
iteration: 300023, loss fn: 0.04416361078619957
iteration: 300024, loss fn: 0.08072808384895325
iteration: 300025, loss fn: 0.050790876150131226
iteration: 300026, loss fn: 0.03340611606836319
iteration: 300027, loss fn: 0.05865047499537468
iteration: 300028, loss fn: 0.027646156027913094
iteration: 300029, loss fn: 0.06533601135015488
iteration: 300030, loss fn: 0.0731215626001358
iteration: 300031, loss fn: 0.05880874767899513
iteration: 300032, loss fn: 0.09279558807611465
iteration: 300033, loss fn: 0.09307239204645157
iteration: 300034, loss fn: 0.053306907415390015
iteration: 300035, loss fn: 0.07420968264341354
iteration: 300036, loss fn: 0.02870454080402851
iteration: 300037, loss fn: 0.060176435858011246
iteration: 300038, loss fn: 0.045452166348695755
iteration: 300039, loss fn: 0.07264692336320877
iteration: 300040, loss fn: 0.016231896355748177
iteration: 300041, loss fn: 0.05918188393115997
iteration: 300042, loss fn: 0.060896918177604675
iteration: 300043, loss fn: 0.051970936357975006
iteration: 300044, loss fn: 0.05728248134255409
iteration: 300045, loss fn: 0.0922686830163002
iteration: 300046, loss fn: 0.06749627739191055
iteration: 300047, loss fn: 0.06884828209877014
iteration: 300048, loss fn: 0.08533724397420883
iteration: 300049, loss fn: 0.04634520784020424
iteration: 300050, loss fn: 0.05559750646352768
iteration: 300051, loss fn: 0.03626403957605362
iteration: 300052, loss fn: 0.044060397893190384
iteration: 300053, loss fn: 0.036093614995479584
iteration: 300054, loss fn: 0.05751877278089523
iteration: 300055, loss fn: 0.053659867495298386
iteration: 300056, loss fn: 0.07067202031612396
iteration: 300057, loss fn: 0.0796179473400116
iteration: 300058, loss fn: 0.1268935203552246
iteration: 300059, loss fn: 0.04044020175933838
iteration: 300060, loss fn: 0.07471446692943573
iteration: 300061, loss fn: 0.05075162649154663
iteration: 300062, loss fn: 0.0570945180952549
iteration: 300063, loss fn: 0.05235935375094414
iteration: 300064, loss fn: 0.059753552079200745
iteration: 300065, loss fn: 0.06808050721883774
iteration: 300066, loss fn: 0.030932463705539703
iteration: 300067, loss fn: 0.06719329953193665
iteration: 300068, loss fn: 0.07870077341794968
iteration: 300069, loss fn: 0.1027679294347763
iteration: 300070, loss fn: 0.04164056107401848
iteration: 300071, loss fn: 0.06364073604345322
iteration: 300072, loss fn: 0.027284227311611176
iteration: 300073, loss fn: 0.06295403093099594
iteration: 300074, loss fn: 0.04177246242761612
iteration: 300075, loss fn: 0.08315784484148026
iteration: 300076, loss fn: 0.029959311708807945
iteration: 300077, loss fn: 0.05097052454948425
iteration: 300078, loss fn: 0.05693424120545387
iteration: 300079, loss fn: 0.061548054218292236
iteration: 300080, loss fn: 0.05752657353878021
iteration: 300081, loss fn: 0.06366065889596939
iteration: 300082, loss fn: 0.060669053345918655
iteration: 300083, loss fn: 0.052601948380470276
iteration: 300084, loss fn: 0.0856066420674324
iteration: 300085, loss fn: 0.049691092222929
iteration: 300086, loss fn: 0.04819021373987198
iteration: 300087, loss fn: 0.05877802520990372
iteration: 300088, loss fn: 0.037119776010513306
iteration: 300089, loss fn: 0.03829265013337135
iteration: 300090, loss fn: 0.060215432196855545
iteration: 300091, loss fn: 0.05793171748518944
